,city,most_similar_us_city,1,2,3,4,5
0,Asheville,Charlotte,Charlotte,Nashville,Detroit,New_Orleans,Dallas
1,Rochester,Rochester,Toronto,Detroit,Baltimore,San_Francisco,Chicago
2,Indianapolis,Indianapolis,Chicago,Detroit,Minneapolis,Philadelphia,San_Francisco
3,Newark,Newark,Philadelphia,New_York,Detroit,Chicago,Baltimore
4,Vancouver,Seattle,Toronto,Montreal,Ottawa,Edmonton,Seattle
5,Amsterdam,New_York,New_York,London,Madrid,Warsaw,Berlin
6,Leeds,Birmingham,Manchester,Nottingham,Birmingham,Liverpool,London
7,Liverpool,Birmingham,Manchester,London,Bristol,Birmingham,Leeds
8,Vienna,Chicago,Berlin,Milan,Belgrade,Hamburg,Moscow
9,Toronto,Rochester,Ottawa,Montreal,Vancouver,Manchester,Edmonton
10,Wellington,Los_Angeles,Melbourne,Victoria,Perth,Los_Angeles,San_Francisco
11,Cologne,Birmingham,Berlin,Hamburg,Dresden,Rome,Milan
12,Stockholm,Philadelphia,Philadelphia,Liverpool,Saint_Petersburg,London,Minneapolis
13,Hamburg,Birmingham,Dresden,Berlin,Cologne,Vienna,Amsterdam
14,Nashville,Nashville,Asheville,Detroit,Atlanta,New_Orleans,Houston
15,Aberdeen,Birmingham,Edinburgh,Glasgow,Liverpool,Leeds,Bristol
16,Leicester,Birmingham,Birmingham,Nottingham,London,Leeds,Bristol
17,Oxford,Birmingham,London,Birmingham,Leicester,Cambridge,Leeds
18,Cambridge,Birmingham,Leicester,Oxford,Birmingham,London,Leeds
19,Manchester,Birmingham,Liverpool,London,Toronto,Leeds,Birmingham
20,Berlin,Chicago,Dresden,Hamburg,Cologne,Vienna,Warsaw
21,Ottawa,Detroit,Toronto,Montreal,Vancouver,Edmonton,Detroit
22,Venice,Miami,Rome,Milan,Florence,Naples,Miami
23,Dresden,Birmingham,Hamburg,Berlin,Warsaw,Cologne,Moscow
24,Malaga,Los_Angeles,Madrid,Lima,Lisbon,Rome,Florence
